session_id,timestamp,time_since_start,time_since_last_event,event_type,client_x,client_y,relative_x,relative_y,page_x,page_y,screen_x,screen_y,button,buttons,ctrl_key,shift_key,alt_key,meta_key,velocity
S_9q9j9kp5,1763385772090,1507.500,1507.500,mouseenter,150,274,121,2,150,274,150,399,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772090,1507.500,0.000,mousemove,150,274,121,2,150,274,150,399,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772097,1514.800,7.300,mousemove,152,280,122,7,152,280,152,405,0,0,false,false,false,false,866.377
S_9q9j9kp5,1763385772105,1523.200,8.400,mousemove,153,285,124,12,153,285,153,410,0,0,false,false,false,false,607.026
S_9q9j9kp5,1763385772114,1531.400,8.200,mousemove,155,291,125,18,155,291,155,416,0,0,false,false,false,false,771.287
S_9q9j9kp5,1763385772122,1539.800,8.400,mousemove,156,296,127,24,156,296,156,421,0,0,false,false,false,false,607.026
S_9q9j9kp5,1763385772130,1548.200,8.400,mousemove,158,303,128,30,158,303,158,428,0,0,false,false,false,false,866.680
S_9q9j9kp5,1763385772139,1556.500,8.300,mousemove,160,309,130,36,160,309,160,434,0,0,false,false,false,false,761.995
S_9q9j9kp5,1763385772147,1564.800,8.300,mousemove,161,316,131,43,161,316,161,441,0,0,false,false,false,false,851.936
S_9q9j9kp5,1763385772156,1574.100,9.300,mousemove,162,323,133,50,162,323,162,448,0,0,false,false,false,false,760.330
S_9q9j9kp5,1763385772163,1580.800,6.700,mousemove,164,329,134,57,164,329,164,454,0,0,false,false,false,false,943.963
S_9q9j9kp5,1763385772172,1589.900,9.100,mousemove,165,335,135,62,165,335,165,460,0,0,false,false,false,false,668.435
S_9q9j9kp5,1763385772181,1599.100,9.200,mousemove,166,342,136,69,166,342,166,467,0,0,false,false,false,false,768.594
S_9q9j9kp5,1763385772189,1607.200,8.100,mousemove,167,348,137,75,167,348,167,473,0,0,false,false,false,false,750.958
S_9q9j9kp5,1763385772197,1614.900,7.700,mousemove,167,354,138,81,167,354,167,479,0,0,false,false,false,false,779.221
S_9q9j9kp5,1763385772205,1623.200,8.300,mousemove,168,360,139,87,168,360,168,485,0,0,false,false,false,false,732.863
S_9q9j9kp5,1763385772214,1632.400,9.200,mousemove,169,365,140,92,169,365,169,490,0,0,false,false,false,false,554.241
S_9q9j9kp5,1763385772222,1639.800,7.400,mousemove,170,371,141,98,170,371,170,496,0,0,false,false,false,false,821.995
S_9q9j9kp5,1763385772230,1648.100,8.300,mousemove,172,377,142,104,172,377,172,502,0,0,false,false,false,false,761.995
S_9q9j9kp5,1763385772239,1656.400,8.300,mousemove,173,382,143,109,173,382,173,507,0,0,false,false,false,false,614.340
S_9q9j9kp5,1763385772247,1664.800,8.400,mousemove,173,388,144,115,173,388,173,513,0,0,false,false,false,false,714.286
S_9q9j9kp5,1763385772255,1673.200,8.400,mousemove,174,393,145,120,174,393,174,518,0,0,false,false,false,false,607.026
S_9q9j9kp5,1763385772264,1681.500,8.300,mousemove,175,398,146,125,175,398,175,523,0,0,false,false,false,false,614.340
S_9q9j9kp5,1763385772272,1689.900,8.400,mousemove,176,403,147,130,176,403,176,528,0,0,false,false,false,false,607.026
S_9q9j9kp5,1763385772280,1698.200,8.300,mousemove,177,407,148,134,177,407,177,532,0,0,false,false,false,false,496.760
S_9q9j9kp5,1763385772289,1707.100,8.900,mousemove,179,416,26,9,179,416,179,541,0,0,false,false,false,false,1035.904
S_9q9j9kp5,1763385772297,1715.000,7.900,mousemove,179,418,27,11,179,418,179,543,0,0,false,false,false,false,253.165
S_9q9j9kp5,1763385772305,1723.200,8.200,mousemove,179,421,27,14,179,421,179,546,0,0,false,false,false,false,365.854
S_9q9j9kp5,1763385772314,1731.500,8.300,mousemove,180,424,27,17,180,424,180,549,0,0,false,false,false,false,380.997
S_9q9j9kp5,1763385772322,1739.800,8.300,mousemove,180,425,28,19,180,425,180,550,0,0,false,false,false,false,120.482
S_9q9j9kp5,1763385772331,1749.100,9.300,mousemove,181,428,28,21,181,428,181,553,0,0,false,false,false,false,340.030
S_9q9j9kp5,1763385772338,1756.400,7.300,mousemove,181,429,28,22,181,429,181,554,0,0,false,false,false,false,136.986
S_9q9j9kp5,1763385772347,1764.800,8.400,mousemove,181,430,151,157,181,430,181,555,0,0,false,false,false,false,119.048
S_9q9j9kp5,1763385772355,1773.000,8.200,mousemove,181,431,151,158,181,431,181,556,0,0,false,false,false,false,121.951
S_9q9j9kp5,1763385772364,1781.400,8.400,mousemove,181,432,151,159,181,432,181,557,0,0,false,false,false,false,119.048
S_9q9j9kp5,1763385772373,1790.700,9.300,mousemove,181,432,151,159,181,432,181,557,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772380,1798.300,7.600,mousemove,181,432,151,159,181,432,181,557,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772389,1806.500,8.200,mousemove,181,432,151,160,181,432,181,557,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772397,1814.800,8.300,mousemove,181,433,151,160,181,433,181,558,0,0,false,false,false,false,120.482
S_9q9j9kp5,1763385772428,1846.000,31.200,mousemove,181,433,151,160,181,433,181,558,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772532,1949.600,103.600,mousedown,181,433,151,160,181,433,181,558,0,1,false,false,false,false,0.000
S_9q9j9kp5,1763385772766,2183.600,234.000,mouseup,181,433,151,160,181,433,181,558,0,0,false,false,false,false,0.000
S_9q9j9kp5,1763385772766,2183.600,0.000,click,181,433,151,160,181,433,181,558,0,0,false,false,false,false,0.000
